Judul_Artikel,Tanggal Publish,Content_Artikel,Category
"Dampak Besar Kehadiran Messi di Amerika, MLS Jadi seperti Super Bowl","11/12/2023, 11:30 WIB","KOMPAS.com - Kehadiran Lionel Messi memberikan dampak besar bagi sepak bola Amerika Serikat. Messi membuat MLS menjadi pusat perhatian layaknya Super Bowl. Lionel Messi memilih melanjutkan karier di Amerika Serikat setelah habis kontrak di Paris Saint-Germain pada Juli lalu. Pilihan Messi jatuh kepada klub anggota Major League Soccer (MLS), Inter Miami. Baca juga: Kehadiran Lionel Messi Bikin Mata Dunia Tertuju ke MLS  Komisioner MLS, Don Garber, menyebut kehadiran Messi memberikan dampak sangat besar kepada kompetisi sepak bola tertinggi Negeri Paman Sam tersebut. Garber menyebut, kedatangan Messi membuat MLS kini menjadi pusat perhatian layaknya partai puncak National Football League (NFL), Super Bowl. ""Dengan Messi, setiap pertandingan hampir seperti Super Bowl, dengan kehadiran para selebriti dan media global,"" kata Garber sebelum laga final MLS Cup 2023 antara Columbus Crew dan Los Angeles FC, Sabtu (9/12/2023).  Garber mengakui, bergabungnya Lionel Messi makin mengangkat pamor MLS di mata global. Sebelum Messi datang pada pertengahan kompetisi, MLS sedang melakoni periode terbaik dengan berbagai ekspansi yang mereka lakukan. Klub pendatang baru, St Louis City FC menjual ludes tiket pertandingan kandang mereka. Selain itu, musim ini juga menandai debut kerja sama antara MLS dan platform streaming Apple TV. Nilai kerja sama MLS dengan Apple TV diyakini bertambah besar usai kedatangan Messi. Baca juga: Scaloni Pikirkan Tinggalkan Argentina, Isu Konflik dengan Messi ""Bergabungnya Messi ke MLS menjadi sebuah kisah global yang mengangkat profil liga kami. Pemain terhebat sepanjang sejarah menjadikan MLS sebagai liga pilihannya."" ""Dia (Messi) memperluas dan mengembangkan kehadiran kami secara global. Kami baru saja memahami apa artinya hal tersebut,"" ucap Don Garber. Adapun Messi langsung menunjukkan performa apik pada musim debutnya di MLS. Meski gagal membawa Inter Miami lolos playoff, megabintang asal Argentina itu sukses mencetak 11 gol dari 14 laga dan membantu klub memenangi gelar Leagues Cup 2023.",Sports
"Ze Valente dan Irfan Bachdim Datang, Persik Makin Ciamik","11/12/2023, 10:30 WIB","KOMPAS.com - Kedatangan Ze Valente dan Irfan Bachdim menambah kekuatan Persik Kediri. Terkini, Macan Putih tampil ciamik saat membungkam Persib Bandung. Persik Kediri sukses mengalahkan tuan rumah Persib Bandung pada laga pekan ke-22 Liga 1, Minggu (10/12/2023) malam WIB. Bertanding di Stadion Gelora Bandung Lautan Api, Persik besutan Marcelo Rospide berhasil menaklukkan Persib dengan skor 2-0. Dua gol kemenangan Macan Putih atas Maung Bandung tercipta melalui sepakan penalti Renan Silva pada menit ke-49 dan tendangan bebas Anderson do Nascimento menit ke-60. Baca juga: Hasil Persib Vs Persik, Malam yang Tak Akan Dilupakan Macan Putih Dalam laga melawan Persib, Marcelo Rospide menurunkan dua rekrutan tengah musim yaitu Ze Valente dan Irfan Bachdim. Ze Valente yang dipinjam dari Persebaya Surabaya bermain sebagai starter. Gelandang serang asal Portugal itu mampu berkolaborasi dengan Renan Silva untuk mendukung penyerang Flavio Silva. Berdasarkan data Lapangbola.com, Ze Valente menjadi pemain Persik dengan jumlah umpan sukses terbanyak yaitu 53. Sementara itu, Irfan Bachdim masuk pada babak kedua menggantikan Mochammad Supriadi. Dengan pengalaman dan jam terbangnya, Irfan tampak bisa menjadi sosok penenang saat Persik mulai digempur Persib.  Sebelum partai tandang kontra Persib, Marcelo Rospide mengatakan bahwa kedatangan Ze Valente dan Irfan Bachdim adalah hal bagus bagi timnya. ""Sangat, sangat bagus situasinya, karena di bursa transfer ini kami bisa meningkatkan kualitas tim."" ""Klub mendukung kami untuk memajukan tim dan kami berhasil membawa pemain di bursa transfer dan kami beruntung bisa membawa Irfan (Bachdim) dan Ze (Valente),"" kata Rospide. Di lain sisi, Bojan Hodak selaku pelatih Persib Bandung juga sempat menyoroti kehadiran Irfan Bachdim dan Ze Valente di skuad Persik Kediri. ""Ya saya lihat di laga terakhirnya, Ze Valente bermain bagus, lalu ada Renan Silva dan Flavio Silva,"" ucap Bojan Hodak sebelum pertandingan. Baca juga: Dampak Irfan Bachdim dan Ze Valente di Skuad Persik Kediri",Sports
"Manchester United Tak Kunjung Temukan Konsistensi, Pecat Ten Hag Bukan Solusi","11/12/2023, 10:00 WIB","KOMPAS.com - Gary Neville menilai memecat Erik ten Hag bukan solusi yang dibutuhkan Manchester United. Menurut Neville, akar masalah klub adalah perekrutan pemain yang tidak tepat. Menjelang pergantian tahun, Manchester United besutan Erik ten Hag tak kunjung menemukan konsistensi permainan. Teraktual, armada Ten Hag kalah telak 0-3 di kandang sendiri dari Bournemouth pada laga pekan ke-16 Premier League, Sabtu (9/12/2023). Padahal, pada laga sebelumnya mereka mampu meraih kemenangan 2-1 saat menjamu Chelsea. Baca juga: Hasil Man United Vs Bournemouth: Setan Merah Tertidur, 5 Menit Jebol, Kalah 0-3 Kemenangan atas Chelsea tersebut sempat memberi angin segar kepada Man United. Akan tetapi, saat melawan Bournemouth, mereka justru kembali terkapar usai dihajar oleh gol-gol Dominic Solanke, Philip Billing, dan Marcos Senesi. Bagi Man United, itu adalah kekalahan ketujuh mereka di kompetisi teratas Liga Inggris musim ini. Inkonsistensi yang dialami Manchester United membuat sang manajer Erik ten Hag kembali jadi sasaran kritik. Namun, Gary Neville mengatakan bahwa memecat Ten Hag bukanlah solusi yang dibutuhkan Man United saat ini. ""Tidak mungkin mereka akan mengganti dia (Ten Hag) musim ini,"" kata Neville usai Man United kalah dari Bournemouth, seperti dikutip Manchester Evening News. ""Ide untuk memecatnya adalah omong kosong dan saya tidak akan mendukungnya,"" imbuh mantan bek kanan Man United tersebut. Baca juga: Man United Tumbang, Erik ten Hag Kesal dan Kecewa Neville yang 19 tahun mengabdi di Old Trafford menambahkan, akar masalah Manchester United adalah perekrutan pemain yang tidak tepat. ""Saya tahu orang-orang tidak bisa menyalahkan keluarga Glazers (pemilik klub) atas apa yang terjadi di lapangan, tetapi mungkin juga bisa iya."" ""Namun, Anda bisa melakukan itu karena 10 tahun kegagalan dan perekrutan yang menyedihkan bermuara pada fakta bahwa mereka tidak memiliki direktur olahraga atau kepala perekrutan yang tepat,"" ucap Neville. Usai kalah dari Bournemouth, Man United masih terpaku di peringkat keenam klasemen Liga Inggris 2023-2024 dengan nilai 27. Mereka berjarak enam poin dari tim peringkat empat, Manchester City, dan 10 poin dari sang pemuncak klasemen, Liverpool. Sementara itu di Liga Champions, Man United yang menempati peringkat terbawah Grup A terancam gagal lolos ke fase gugur.",Sports
"SAC Indonesia 2023 Jawa Timur Tuntas Digelar, Pecahkan Tiga Rekor ","11/12/2023, 08:30 WIB","KOMPAS.com - Kompetisi atletik pelajar terbesar Tanah Air, Energen Champion Student Athletics Championships (SAC) Indonesia 2023, telah menuntaskan rangkaian kualifikasi regional. Kualifikasi regional Jawa Timur di Lapangan Atletik THOR, Surabaya, pada 8-10 Desember 2023 jadi penutup kualifikasi SAC Indonesia 2023 yang total digelar di enam wilayah.  Kompetisi berlangsung sangat kompetitif hingga memecahkan tiga rekor nasional SAC Indonesia. Masing-masing dari nomor lompat jauh putri atas nama Aufar Fadilah Dwi Caksono (SMAN 2 Madiun) dengan lompatan 4,95 meter. Baca juga: Tingginya Animo Peserta di SAC Indonesia East Java Qualifiers  Selanjutnya, rekor lari jarak menengah (1.000 meter) putri yang dipecahkan oleh Inna Nurul Ma'Rifatin (MAN 5 Bojonegoro) dengan catatan 3 menit 21,078 detik.  Terakhir adalah Arfiansyah Adi Yuliarta yang memecahkan rekor di nomor sprint atau lari 100 meter putra dengan catatan waktu 10,87 detik pada babak penyisihan, Sabtu (9/12/2023).  Rekor nasional SAC Indonesia di nomor 100 meter putra sebelumnya dipegang Yogi Saputra (SMAN 1 Surade), dengan catatan waktu 11,06 detik. Yogi merupakan juara National Championship 2022 dan salah satu peserta SAC ke Australia.  Saat tampil pada final East Java Qualifiers hari Minggu (10/12/2023), Arfiansyah berhasil mempertajam catatan waktunya menjadi 10,86 detik. Baca juga: Hasil Kualifikasi SAC Indonesia 2023 di Jawa Tengah Catatan itu lebih bagus 0,01 detik dari rekor atas namanya sendiri sekaligus memastikan dirinya merebut podium juara dan lolos ke National Championship yang akan digelar di Solo pada Januari 2024.  Waktu 10,86 detik yang ditorehkan Arfiansyah bisa dibilang luar biasa sebab rekor Indonesai di nomor 100 meter putra saat ini dipegang Suryo Agung Wibowo pada SEA Games 2009 dengan catatan 10,17 detik.  Arfiansyah mengatakan, dirinya telah mempersiapkan diri selama satu tahun penuh untuk SAC Indonesia 2023.  “Memang menunggu SAC. Dari pulang di National Championship awal tahun ini langsung latihan karena di SAC perdana itu saya juga masih awal-awal latihan. Sebelumnya juga mendalami olahraga futsal,” tutur Arfiansyah yang kini duduk di kelas 12, dalam keterangan yang diterima Kompas.com.  Baca juga: SAC Indonesia 2023, DKI Jakarta & Banten Qualifiers Pecahkan Rekor di 100 Meter Putri Prestasi Arfiansyah ini menarik perhatian Serafi Unani. Peraih medali emas di nomor 100 meter putri di SEA Games 2011 itu hadir menonton langsung Arfiansyah pada partai final.  ""Kalau melihat prestasinya, bagus banget ya. Apalagi dia masih kelas 12. Jadi dia sudah cukup bagus pada usia ini bisa lari dan mencatatkan waktu 10,86 detik,"" katanya.  ""Sisa bagaimana ke depannya kami maintanance karena dia bibit. Apalagi dia leading-nya jauh,"" ungkap Serafi.",Sports
"BIN Pasundan Juara Livoli Divisi Utama 2023, LavAni Gagal Ciptakan Sejarah","11/12/2023, 07:56 WIB","KOMPAS.com - BIN Pasundan berhasil keluar sebagai juara Livoli Divisi Utama 2023 usai mengalahkan LavAni Bogor dengan skor 3-2 (25-19, 21-25, 22-25, 25-19, 15-12) pada laga grand final di GOR Joyoboyo Kediri, Minggu (10/12/2023) malam.  Laga berjalan dengan sangat dramatis karena LavAni memberikan perlawanan yang sangat sengit. Mereka memaksa laga berjalan selama lima set yang penuh ketegangan. Sekitar 8000 penonton yang hadir pun larut dalam tempo permainan yang intens. Mereka tidak beranjak dari tempat duduk sampai akhir laga, termasuk Presiden RI ke-6 dan sekaligus pemilik klub LavAni, Susilo Bambang Yudhoyono (SBY).  Set pertama dimenangi oleh BIN Pasundan dengan skor 25-19. Namun LavAni berhasil mengamankan set kedua dan ketiga dengan skor 21-25 dan 22-25.  Tertinggal 1-2, BIN Pasundan yang dimotori Farhan Halim menolak menyerah di set keempat. Mati-matian mereka meladeni permainan agresif LavAni yang berada diatas angin. Baca juga: Daftar Penghargaan Pemain Masa Depan Livoli Divisi Utama 2023   BIN Pasundan akhirnya berhasil memenangi set keempat dengan skor 25-19, memaksa laga ditentukan lewat set kelimat.  Set kelima tidak kalah menegangkan. Dengan sisa-sisa tenaga mereka tetap menunjukan power dan konsentrasi tinggi. Namun BIN Pasundan menemukan momentum lebih dulu dan mengakhiri perlawanan LavAni dengan skor 15-12.  Pelatih BIN Pasundan, Ryan Masajedi mengaku sangat senang dan bangga dengan penampilan pemainnya.  “Tim kami memiliki banyak pemain bagus dan bertalenta sehingga rotasi juga lebih mudah. Mereka semua bekerja keras dan bermain seperti keluarga. Ditambah manajemen BIN mendukung penuh saya melakukan pekerjaan ini,” tuturnya.  Sebagai juara BIN Pasundan menerima piala juga menerima uang pembinaan sebesar Rp 50 juta.   Kemenangan semakin manis karena spiker BIN Pasundan, Fikri Mustofa Kamal dinobatkan sebagai Pemain masa depan pada ajang Livoli Divisi Utama 2023. Ia mendapat piala pengharagaan dan hadiah uang pembinaan Rp 5 juta.   Sementara bagi LavAni kekalahan ini begtu mengecewakan. Asisten pelatih LavAni Erwin Rusni mengatakan kalahan ini disebabkan karena kesalahan tiimnya sendiri.  “Permainan anak-anak pada set keempat dan kelima sedikit menurun, receive hampir tidak jalan sehingga serangan mudah dibaca lawan,” ujarnya.   Pun demikian sepak terjang LavAni layak mendapatkan acungan jempol. Tim milik Presiden RI ke-6 Susilo Bambang Yudhoyono (SBY) tersebut menjadi debutan di Divisi Utama 2023 setelah sebelumnya mendapatkan promosi sebagai runner up Divisi I 2022.  LavAni sebagai runner-up mendapatkan uang pembinaan Rp 30 juta.  Sementara peringkat ketiga kompetisi nasional bola voli amatir ini ditempati PDAM Tirta Baghasasi Bekasi yang mengalahkan juara bertahan Indomaret Sidoarjo 3-1 (25-22, 25-19, 18-25, 25-23).   Atas raihan peringkat ketiga itu, PDAM mendapatkan piala dan hadiah uang pembinaan Rp 25 juta. Sedangkan Indomaret Rp 20 juta.",Sports
Daftar Penghargaan Pemain Masa Depan Livoli Divisi Utama 2023 ,"11/12/2023, 07:30 WIB","KOMPAS.com - Livoli Divisi Utama 2023 rampung digelar di GOR Joyoboyo, Kediri, Jawa Timur, pada Minggu (10/12/2023).  Petrokimia Gresik Pupuk Indonesia dan BIN Pasundan menjadi juara Livoli Divisi Utama 2023 setelah mengalahkan lawan masing-masing.  Tim putri Petrokimia menjadi juara Livoli Divisi Utama 2023 seusai menang 3-0 atas TNI pada Sabtu (9/12/2023). Sehari setelahnya, tim putra BIN Pasundan memenangi pertandingan ketat melawan LavAni dengan skor 3-2.  Baca juga: Hasil Final Livoli 2023: BIN Pasundan Juara, Sejarah Tercipta Livoli Divisi Utama 2023 juga memberikan penghargaan Pemain Masa Depan kepada Putri Nur Hidayati Agustin (Petrokimia) dan Fikri Mustofa Kamal (BIN Pasundan).  Keduanya berhak mendapatkan trofi penghargaan dan menerima uang pembinaan sebesar Rp 5.000.000.  Sementara itu, Petrokimia dan BIN Pasundan sebagai juara masing-masing mendapatkan uang pembinaan Rp 50 juta.  Baca juga: Runner-up Livoli Divisi Utama 2023, LavAni Ungkap Faktor Kekalahan dari BIN Untuk runner-up yang diraih TNI AU (putri) dan LavAni (putra) mendapatkan Rp 30 juta. Adapun peringkat ketiga yaitu TNI AL (putri) danPDAM Tirta Baghasasi Bekasi (putra) menerima Rp 25 juta.  Putri Putra Pemain Masa Depan",Sports
"Runner-up Livoli Divisi Utama 2023, LavAni Ungkap Faktor Kekalahan dari BIN","11/12/2023, 07:00 WIB","KOMPAS.com - Asisten pelatih LavAni, Erwin Rusni, mengungkapkan faktor kekalahan timnya dari BIN Pasundan pada grand final Livoli Divisi Utama 2023.  LavAni menjadi runner-up Livoli Divisi Utama 2023 setelah kalah 2-3 dalam pertandingan di GOR Joyoboyo, Kediri, Jawa Timur, Minggu (10/12/2023) malam WIB.  Erwin menegaskan bahwa para pemainnya mengalami penurunan performa pada set empat dan lima, sehingga pola permainan mudah dibaca lawan. “Permainan anak-anak pada set keempat dan kelima sedikit menurun, receive hampir tidak jalan sehingga serangan mudah dibaca lawan,” kata Erwin Rusni.  Baca juga: Hasil Final Livoli 2023: BIN Pasundan Juara, Sejarah Tercipta Sementara itu, pelatih BIN Pasundan, Ryan Masajedi, mengaku senang dan bangga dengan penampilan timnya yang bermain maksimal melawan LavAni.  “Tim kami memiliki banyak pemain bagus dan bertalenta, sehingga rotasi juga lebih mudah,"" kata Ryan dalam keterangan PBVSI yang diterima Kompas.com.  ""Mereka semua bekerja keras dan bermain seperti keluarga. Ditambah manajemen BIN mendukung penuh saya melakukan pekerjaan ini,” kata Ryan melanjutkan.  Sementara itu, Asisten pelatih LavAni, Erwin Rusni, mengungkapkan faktor kekalahan timnya dari BIN Pasundan.  Baca juga: Tim Putri Petrokimia Juara Livoli Divisi Utama 2023  Selain menerima trofi juara, BIN akan mendapatkan uang pembinaan Rp 50 juta. Adapun LavAni sebagai runner-up menerima uang pembinaan Rp 30 juta.  Spiker BIN Pasundan, Fikri Mustofa Kamal, dinobatkan sebagai Pemain Masa Depan pada ajang Livoli Divisi Utama 2023 dan mendapat piala serta hadiah uang pembinaan Rp 5 juta.  Adapun peringkat ketiga kompetisi nasional bola voli amatir ini ditempati PDAM Tirta Baghasasi Bekasi yang mengalahkan juara bertahan Indomaret Sidoarjo 3-1 (25-22, 25-19, 18-25, 25-23).  Atas raihan tersebut, PDAM Tirta Baghasasi Bekasi mendapatkan piala dan hadiah uang pembinaan Rp 25 juta, sedangkan Indomaret Sidoarjo menerima Rp 20 juta.",Sports
"Hasil Final Livoli 2023: BIN Pasundan Juara, Sejarah Tercipta","10/12/2023, 22:06 WIB","KOMPAS.com - Sejarah tercipta. BIN Pasundan menjadi juara Livoli 2023 usai mengalahkan Lavani dalam lima set. Pertandingan grand final Livoli Divisi Utama 2023 putra antara Lavani vs BIN Pasundan, di Gor Joyoboyo, Kediri, Minggu (10/12/2023) berlangsung ramai.  BIN Pasundan menjadi juara usai membekuk Lavani 3-2 (25-19, 21-25, 22-25, 25-19, dan 15-12). Duel perebutan gelar berjalan sengit. Lavani harus bertarung melawan BIN Pasundan dalam lima set. Baca juga: Head to head BIN Pasundan Vs Lavani di Final Livoli Divisi Utama 2023 Sebelum bertarung di partai final, kedua tim sudah berjumpa empat kali di Livoli 2023. Lavani tampak superior dengan raihan tiga kemenangan, berbanding satu milik BIN Pasundan. Akan tetapi, final menyuguhkan atmosfer yang berbeda. BIN Pasundan menyentak Lavani dengan merebut set pertama. Anak asuh Ryan Masajade memenangi set pertama dengan skor 25-19. Lavani pun memberikan reaksi terbaik. Lavani kemudian memenangi dua set berikutnya, masing-masing dengan skor 25-21 dan 25-22. Namun, perlawanan BIN Pasundan belum berakhir. Mereka memaksa laga terus berlanjut, usai menang 25-19 pada set empat. Set penentuan, yakni set kelima pun berlangsung menegangkan. Lavani sempat di atas angin usai memimpin 8-5 pada masa interval. Baca juga: Tim Putri Petrokimia Juara Livoli Divisi Utama 2023  Akan tetapi, situasi kemudian berbalik. Poin dari Farhan Halim mengantar BIN Pasundan menyamakan kedudukan 9-9. Setelah itu, pertandingan semakin seru usai challenge yang diminta BIN Pasundan sukses. Tayangan ulang menunjukkan blok pemain-pemain Lavani menyentuh net, sehingga poin tercipta buat BIN Pasundan. Skor 10-10. Drama belum berakhir. Challenge BIN Pasundan kembali berhasil. Pemain Lavani terlihat menyentuh net. BIN Pasundan pun unggul 13-11. Cross spike dari Doni Haryono, yang merupakan eks pemain Lavani, lalu membawa BIN Pasundan mencapai match point. Skor saat itu 14-12. Pengembalian tak sempurna pemain Lavani yang terhalang net pada akhirnya memastikan kemenangan untuk BIN Pasundan. Sejarah tercipta, untuk kali pertama BIN Pasundan meraih gelar juara Livoli Divisi Utama.",Sports
"Lakers Ukir Sejarah Juara Turnamen In Season NBA, King James MVP","10/12/2023, 17:19 WIB","KOMPAS.com - Los Angeles Lakers sukses menjadi juara turnamen in-season NBA 2023-2024 seusai menundukkan Indiana Pacers 123-109, Minggu (10/12/2023) pagi WIB. Sebagai informasi, turnamen in-season merupakan gelaran pertama kalinya di sepanjang sejarah NBA.  Lakers pun mengukir sejarah menjadi tim pertama yang berhasil menjuarai turnamen in-season NBA.  Pertandingan final Lakers vs Pacers berlangsung di T-Mobile Arena, Las Vegas, NV. Pada gelaran turnamen ini, LeBron James ""King James"" dianugerahi penghargaan Most Valuable Player (MVP) atau pemain terbaik.  Baca juga: Dikabarkan Telah Menikah dengan Rich Paul, Adele Pamer Cincin Saat Nonton NBA King James sukses menorehkan catatan 24 poin dan 11 rebound dalam laga melawan Pacers. James yang dianugerahi sebagai pemain terbaik mengatakan, menjadi juara untuk yang pertama tidak pernah akan terpecahkan oleh siapa pun. ""Rekor-rekor akan terpecahkan, tetapi satu hal yang tidak akan pernah terpecahkan adalah menjadi yang pertama melakukan sesuatu,"" ujar James dikutip dari BBC. ""Kami adalah juara pertama dari turnamen dalam musim dan tidak ada yang bisa mengungguli itu,"" kata pemain berusia 38 tahun itu. ""Sangat menyenangkan bisa melakukannya dengan bersejarah seperti itu dan lebih baik lagi melakukannya dengan para pemain hebat, yang terdiri dari orang-orang kompetitif di sini,"" kata LeBron. Baca juga: INFOGRAFIK: Mengenang Laga Pertama LeBron James di NBA pada 20 Tahun Silam Kemenangan Lakers juga disokong oleh performa apik Anthony Davis dan Austin Reaves. Ya, pemain yang berposisi sebagai center ini mampu berkontribusi sebanyak 41 poin dalam 40 menit. Sementara itu, Reaves berhasil menyumbang 28 poin. Pelatih Lakers, Darvin Ham, menuturkan bahwa kombinasi Davis dan James merupakan duet yang dahsyat. ""Mereka adalah pukulan satu-dua yang dahsyat,"" ujar Darvin. ""Satu atau dua orang itu bisa menjadi salah satu dari mereka pada malam tertentu. Pada akhirnya, mereka tahu bagaimana cara meningkatkannya ke level berikutnya ketika semuanya dipertaruhkan,"" ucap Darvin. Baca juga: NBA Luncurkan NBA App Versi Baru, Sajikan 10.000 Jam Program untuk Fan Final pada turnamen ini tidak akan terhitung pada klasemen NBA 2023-2024. Hasil tersebut hanya sebagai satu pertandingan dari turnamen. Pertandingan yang berlangsung di Las Vegas memiliki atmosfer pendukung yang hebat, hal ini dipuji oleh LeBron James. ""Para penggemar di sini luar biasa. Mereka sudah memiliki segalanya: Tim WNBA, mereka memiliki tim bisbol (atletik) yang akan segera datang, tim NFL, tim hoki, F1 (Formula Satu) baru saja datang ke sini,"" kata James. ""Ini adalah tempat yang menyukai atraksi-atraksi hebat, dan saya pikir NBA akan menjadi tambahan yang bagus untuk kota ini,"" kata James.",Sports
Head to head BIN Pasundan Vs Lavani di Final Livoli Divisi Utama 2023,"10/12/2023, 14:37 WIB","KOMPAS.com - Grand Final Livoli Divisi Utama 2023 putra mempertemukan BIN Pasundan Bandung dan Lavani Bogor di GOR Joyoboyo Kediri, Minggu (10/12/203) pukul 19.00 WIB. BIN Pasundan berstatus sebagai runner-up musim 2022 lalu, sedangkan Lavani berstatus sebagai tim promosi di Divisi Utama setelah musim lalu menjadi runner-up Divisi 1 2022. Ini menjadi klimaks bagi kedua tim yang sudah bertemu dan bersaing sejak di babak penyisihan di Grup B. Laga pertama dimenangi Lavani dengan skor 3-1. Kemudian, kedua tim bertemu kembali di final Pool B dan dimenangi lagi oleh Lavani dengan skor identik 3-1. Baca juga: Tim Putri Petrokimia Juara Livoli Divisi Utama 2023  Persaingan berlanjut ke babak final four. Pada putaran pertama BIN Pasundan berhasil revans dengan skor 3-1 (25–23, 25–23, 18–25, 25–18). Namun, putaran kedua Lavani berhasil menang dengan skor telak 3-0 (25–22, 25–20, 25–10). Pada laga pamungkas ini, BIN Pasundan yang dipimpin Ryan Masajedi sudah mengantongi tiket ke babak grand final, sedangkan bagi Lavani laga ini memastikan langkah mereka ke babak grand final. Lavani melaju ke final sebagai pemuncak klasemen dengan 15 poin dari lima menang dan sekali kalah. Tim besutan pelatih Kuba, Nicolás Vives, ini perkasa dengan 16 kali menang set dan hanya empat kali kalah set.  Baca juga: Rekap Putaran Akhir Final Four Livoli Divisi Utama 2023 Sementara itu, BIN Pasundan sebagai runner-up dengan 14 poin dari lima menang dan sekali kalah juga. Mereka 15 kali menang set dan delapan kali kalah set. Menariknya, selama fase final four satu-satunya kekalahan yang dirasakan Lavani disebabkan oleh BIN Pasundan, begitu pula sebaliknya. Kedua tim saling mengalahkan satu sama lain. Secara total, kedua tim telah bertemu empat kali selama Livoli Divisi Utama 2023 ini. Tiga dimenangi Lavani dan sekali dimenangi BIN Pasundan. Pertandingan dipastikan sengit mengingat di babak final four kedua tim menunjukkan level permainan yang berbeda. Sementara itu, sebelum partai puncak, penikmat voli Indonesia juga akan dimanjakan persaingan sengit lainnya di perebutan tempat ketiga, antara juara Divisi Utama musim 2022 Indomaret Sidoarjo melawan juara Divisi 1 2022 musim lalu PDAM Tirta Bhagasasi Bekasi. Duel akan dilaksanakan di hari dan tempat yang sama hanya dilakukan lebih awal, yaitu pukul 15.30 WIB.",Sports
